Spanish,English
que,what
de,of
no,no
a,a
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,and
por,by
qué,what
me,me
una,a
te,the
los,the
se,with
con,with
para,for
mi,me
está,it is
si,and
bien,good
pero,but
yo,they
eso,it's
las,the
sí,Yes
su,are
tu,That
aquí,here
del,of
al,al
como,as
le,the
más,plus
esto,this
ya,of
todo,all
esta,is
vamos,we will
muy,very
hay,good
ahora,now
algo,something
estoy,am
tengo,I've got
nos,us
tú,you
nada,anything
cuando,when
ha,he has
este,It is
sé,see
estás,are
así,So
puedo,Can I
cómo,What
quiero,I want
sólo,single
soy,soy
tiene,have
gracias,Thank you
o,O
él,the
bueno,Okay
fue,it was
ser,to be
hacer,do
son,son
todos,all
era,era
eres,are
vez,turn
tienes,you have
creo,I think
ella,she
he,he
ese,that
voy,I go
puede,can
sabes,you know
hola,hour
sus,their
porque,why
dios,god
quién,who
nunca,Never
dónde,where
quieres,you want
casa,House
favor,favor
esa,this
dos,From
tan,tan
señor,mister
tiempo,weather
verdad,TRUE
estaba,I was
mejor,better
están,is it so
va,and
hombre,men
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,we have
puedes,you may
ahí,there
ti,of
vida,life
ver,to see
alguien,someone
sr,sr
hasta,until
sin,sin
mí,my
solo,alone
años,years
sobre,about
decir,tell
uno,one
siempre,forever
oh,oh
ir,and
cosas,stuff
también,also
antes,before
has,has
ni,in
mis,which
día,day
estar,be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,looks
nosotros,us
poco,little bit
padre,father
trabajo,worked
gente,people
mira,mira
vas,your
sea,sea
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,son
tal,turn
otro,other
hablar,speak
seguro,safe
claro,clear
estas,is
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,he
tus,the
sabe,You know
después,after
momento,time
desde,since
fuera,outside
cosa,What
tipo,type
mañana,morning
podemos,we can
dije,said
gran,great
necesito,needed
estado,state
podría,could
acuerdo,agreement
papá,father
tener,to have
dice,dice
mío,Own
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,it will be
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,ven
tres,three
menos,any less
debe,must
tenía,I had
mal,times
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,breast
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,hour
mujer,woman
visto,view
haces,you do
importa,it matters
contigo,with you
ve,ve
tarde,afternoon
oye,understand
parte,part
haber,to have
hombres,mens
problema,problem
mas,but
saber,know
quería,wanted
aún,even
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,Those
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,from
quizá,Maybe
debo,I shall
alguna,some
cierto,certain
ud,out
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,in between
minutos,minute
digo,I say
algún,some
serio,serious
cuidado,caution
pasó,I pass
buenas,good
somos,are
amor,love
puerta,gate
ves,know
vaya,wow
ah,like
suerte,luck
eh,Eh
rápido,fast
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,past
pensé,think
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,form
aqui,here
chico,chico
ok,ok
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,auto
camino,road
ayuda,aid
primera,first
hacia,towards
vi,we
miedo,fear
adiós,bye
primero,first
debería,should
poder,can
niños,kids
sería,would
historia,history
hey,hey
mientras,while
ciudad,city
dijiste,said
espero,expect
cuánto,how many
esposa,wife
pronto,ready
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,already
año,year
muerte,death
hablando,talking
manos,hands
da,and
loco,place
problemas,problems
mano,thousand
guerra,war
semana,week
pasar,market
vale,Valley
cuál,which
viene,he comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,self
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,little boy
listo,List
noches,nights
buenos,good ones
iba,Other
juntos,together
dame,dame
único,single
déjame,let me
cerca,fence
otros,others
sigue,follow
grande,great
arriba,up
jefe,boss
habla,speech
supongo,I guess
manera,way
quieren,They want
feliz,happy
significa,means
sangre,blood
fin,end
bajo,bass
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,log in
ningún,none
corazón,heart
diablos,Devils
necesitamos,We need
atrás,back
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,dr
hija,it
dejar,let
necesita,needs to
llegar,get
hago,I make
señora,Mrs
haya,these
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,method
siquiera,even
genial,genial
cree,Believe
supuesto,supposed
tomar,to take
equipo,equipment
justo,just
juego,play
ninguna,none
matar,woman
cinco,five
dicen,They say
amo,amo
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damn you
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,I can
dime,dime
igual,Same
comida,food
ay,Ay
cuerpo,Body
encontrar,meet
fuerte,strong
vuelta,lap
venga,come
creer,believe
realidad,reality
saben,per
puta,hatch
deberías,you should
pregunta,Question
fui,I went
cuatro,four
sra,sra
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,nasty
comer,eat
número,number
dar,but
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,to live
paso,step
malo,room
estabas,You were
vivo,vivo
haga,make
queda,remains
hijos,sons
mayor,mayor
fiesta,fiesta
hacen,make
medio,medium
algunas,some
basta,it just is
arma,weapon
vino,wine
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,fuck
final,final
lista,list
trata,about
armas,weapon
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,quite
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,lonely
estuvo,he was
verte,green
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
buscando,seeking out
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,but
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,about
joven,young man
seguir,follow
pueblo,village
tenga,have
caballeros,gentlemen
idiota,idiot
dio,part
minuto,minutes
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
seis,six
último,last
ésta,is
diga,say
podrías,could you
pequeña,small
cállate,shut
trato,deal
rey,rey
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,from
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,chairman
mil,thousand
gusto,Want
conoces,you know
diciendo,saying
os,you
ido,eye
general,general
extraño,weird
semanas,weeks
coche,coach
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,lose
vámonos,Let's go
nave,nave
cielo,sky
habrá,there will be
orden,order
segura,safe
querida,Honey
niña,little girl
increíble,incredible
además,what's more
deben,They must
libro,book
calle,street
café,café
piensas,You think
hacemos,we make
especial,Special
queremos,we want
irme,Go
perfecto,perfect
buscar,Search
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
mala,she had
detrás,behind
viste,knew
dile,language
grandes,big ones
recuerdas,remember
real,real
estaban,They were
mía,tight
frente,front
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,assassin
sueño,sleep
quisiera,I would like
habría,there would be
hará,will do
viaje,trip
probablemente,probably
resto,rest
estaré,I will be
maldición,damn
lamento,am sorry
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,strength
llamado,called
oído,ear
dado,given
encima,over
negro,negro
usar,to use
información,information
uds,uds
preguntas,questions
tuvo,He had
secreto,secret
vuelve,Come back
miren,Miren
quieras,You want
haría,would do
acaba,ends
otras,others
incluso,even
sientes,you feel
deberíamos,we should
haz,haz
decirte,tell you
boca,boca
dolor,pain
baño,bath
adentro,indoors
profesor,professor
habitación,room
daño,damage
tuyo,dry
seas,seas
noticias,news
demás,the rest
querido,Dear
duro,stand
poner,put
prueba,Test
mire,by the time
tonto,tonto
campo,field
siendo,being
diez,ten
ése,that
tranquilo,quiet
asunto,affair
acabó,just
quédate,stay
derecho,law
placer,placer
recuerda,remember
estuve,was
tratando,treating
ejército,army
futuro,future
llevar,wear
compañía,company
venido,I come
listos,Ready
haremos,will
sitio,place
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,white
raro,under
palabras,words
llegó,I arrive
sal,shall
pase,pass
mente,mind
sistema,system
película,movie
anda,you
ello,it
negocio,business
novia,girlfriend
permiso,permission
creí,I believed
suena,sounds
ocurre,occurs
oficial,official
espere,hope
aire,air
mató,killed
regresar,to return
vio,he saw
hazlo,do it
trasero,rear
grupo,group
entendido,it is understood
señorita,Miss
música,song
perra,bitch
conoce,known
empezar,start
siente,Feel
acabo,finished
estúpido,idiot
diferente,different
traje,it lasts
modo,way
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,eras
pena,feather
largo,length
entra,goes into
piso,flat
foto,photo
dijeron,They said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,gain
normal,normal
segundos,second
vive,live
mitad,half
quiera,want
tras,after
decirle,Tell him
lindo,pretty
funciona,it works
programa,program
vine,vine
abre,open
sean,sean
pagar,pay
fotos,Photos
centro,center
supone,It supposes
basura,Waste
situación,situating
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,maestro
hambre,hunger
ataque,attack
culo,ass
dale,dale
pie,near
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,response
tipos,types
sentir,to feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,amiga
gustan,Gustan
vista,vista
salvo,saved
loca,loca
hotel,hotel
hicieron,they made
ten,ten
temo,topic
señal,sign
pelo,fur
llevo,wear
ayer,Yesterday
das,the
nena,Nena
servicio,service
tren,train
bonito,pretty
mes,We
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,llamas
tengas,Have
corre,corre
baja,short
sol,sun
siéntate,Sit down
dan,and
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,mesa
siguiente,Next
hablo,talked
disculpa,Sorry
decirme,Tell me
caja,cash register
negocios,business
misión,mission
silencio,silence
sale,sale
llegado,arrived
estaría,It would
regreso,Return
media,media
estan,are
propio,propy
oro,air
enseguida,right away
linda,linda
prometo,promise
esposo,husband
norte,north
hubo,there was
juro,Law
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,different
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,wrench
santo,Holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,Go
aun,still
tendremos,we will have
vayas,go
doy,give
trae,Bring
salió,he left
ley,law
ahi,raid
verdadero,real
pelea,Fight
banco,Bank
terrible,terrible
calma,calm
cena,cena
daré,I will give
gobierno,government
comprar,purchase
creen,They believe
sargento,sergeant
destino,destiny
existe,exists
hacía,towards
novio,boyfriend
sala,living room
través,through
regalo,gifts
iglesia,church
decía,He said
cualquiera,any
excelente,great
esperen,they expect
deseo,desire
alma,alma
diablo,diablo
deje,going to be done
cuántos,many
espada,sword
estábamos,We were
carne,meat
maravilloso,wonderful
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,It occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,pies
club,club
terminado,finished
infierno,hell
creía,I believed
luna,top
salvar,to save
carta,paper
estés,be
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,They need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,totally
mirando,looking at
vayan,go
carrera,race